text,majority_label,severity,labels,annotator_ids,targets
canada is turning into a muzzie shit hole too,0,Low,"0, 0, 2","4, 9, 67",Islam
beavis the redneck bought a trailer home and then forgot what happend before waking up to an earthquake,2,High,"2, 2, 2","53, 2, 148",None
<user> gt they can not love you gt implying 3 d women are capable of love either,1,Medium,"1, 1, 1","229, 223, 208","Women, None"
welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus,0,Low,"0, 0, 0","23, 46, 25","African, Jewish"
<user> i think a lot of racism comes from confusion about labels and terms when i studied photography my tutor made it clear to me to refer to his skin colour as black in a room full of white students,1,Medium,"1, 1, 1","1, 42, 51",None
i called don jr an unsavory name and had my account with 7 k followers permanently suspended for targeted harassment of a protected class so now white male billionaire fail sons are a protected class fml,1,Medium,"1, 1, 1","51, 1, 110",None
inbred paki thinks he can conquer the west lolzy doe,0,Low,"0, 1, 0","72, 74, 4","Other, Islam, None"
tenho <number> inscritos no meu canal do not touch me bitch i am famous,1,Medium,"2, 1, 1","7, 25, 6","Women, None"
mueller is not retarded or incompetent he is just very slow at finding the evidence that was never there in the beginning next he needs to look on the moon and the craters of mars,1,Medium,"2, 1, 1","211, 221, 203","Other, None"
fuck mohamed and fuck sand niggers like you,2,High,"2, 2, 0","215, 212, 217","Men, African, Women, Islam, Arab"
i fucking hate you you used my emotions and shit and hurt me so badly 😭 💔,1,Medium,"1, 2, 1","202, 233, 213","Other, None"
feminists who are so concerned about female harassment and abuse address the muslim migrant rape problem in europe or shut up,1,Medium,"1, 1, 2","204, 207, 203","Islam, Women, Refugee"
he got bitches and i got niggas but we know wassup 🤫,2,High,"2, 2, 1","4, 7, 8","Men, Women, None"
how did this retard get a 6 k gab score does it even know how to engrish,2,High,"2, 0, 2","217, 213, 199","Men, Women, None, Other"
according to that piranha mouth dyke i am a level <number> gook 🥴,0,Low,"0, 2, 0","4, 37, 96","Other, Asian, Homosexual"
who gives a shit about sphincter de beaner,0,Low,"0, 0, 2","3, 4, 13",Hispanic
you all niggers are trash,2,High,"2, 1, 2","7, 4, 6",African
it might be time for us to stop calling the sand niggers dumb,0,Low,"1, 0, 0","211, 201, 222","Arab, None"
<user> how bored they all look,1,Medium,"1, 1, 1","233, 235, 203",None
matt you are probably arguing with a kike they are what they accuse others of its a waste of time,0,Low,"0, 0, 0","53, 2, 148",Jewish
<user> if germany does not understand or have knowledge about the so called muslem brotherhood take a look at the nazi party,1,Medium,"2, 1, 1","223, 229, 209","Islam, None"
<user> <user> <user> where your source i still have not seen any proof of the high levels of trans women who get raped in male prisons,1,Medium,"1, 1, 1","9, 83, 30",None
<user> jim sonny dykes sounds like a great vacation destination for lesbians we d love to hear more about it sincerely the wnba,1,Medium,"1, 1, 1","4, 1, 34","Homosexual, None"
<user> <number> inches is all these hoes deserve,2,High,"2, 2, 1","207, 221, 204",Women
finally nepal women beat uae by <number> wickets congratulations nepalichelis,1,Medium,"1, 1, 1","7, 6, 8",None
i am here and i am not queer so too bad for the internet then,1,Medium,"1, 1, 2","204, 207, 208",Homosexual
<user> <user> wow ， real nazi words,1,Medium,"1, 1, 2","199, 245, 235","Other, None"
why do women shower so much after being raped to get rid of the smell of fried chicken,0,Low,"2, 0, 0","211, 231, 200","Women, African"
if it true that the smarter should wipe out the dumber and that white people are dumber than asians then it in white people bests interests to wipe out the asians before they wipe us out either that or keep some niggers around,0,Low,"0, 0, 1","205, 221, 211","Asian, Arab, None"
women betray the hubby is retarded if he stands by her he probably never saw it coming she must have made him jump through hoops,2,High,"2, 2, 2","199, 222, 209","Women, None"
<user> well that the primary reason but it mostly supported by the fact that niggers never keep the same energy all words no action,0,Low,"0, 0, 2","4, 21, 42",African
what a baby 😍 for example whatever go kill yourself said …,1,Medium,"1, 1, 1","83, 30, 1",None
<user> saying that queen was a mix of queer and spleen was simply an insult i was mocking you for mocking my name,1,Medium,"1, 1, 1","25, 106, 17",None
i d also like to see the same applied to our own lazy white underclass too much bigger drain on benefit resources than islam and blacks combined due to sheer number have no decent british values refuse to work and breed like fooking rabbits,2,High,"0, 2, 2","201, 209, 222","Islam, Caucasian, Indigenous, Other"
<user> i really fucking hate it because i ’ ve seen so many hot takes based on my culture and everyone takes their word for it,2,High,"1, 2, 2","205, 223, 208","Other, None"
<user> then why are the other muslim women threatened or punished if not wearing hijab is it to force them to make feminist statements,1,Medium,"1, 1, 1","25, 18, 22",None
<user> i am assuming that in this time period the distinction between queer as opposed to homosexual or bisexual was that they were gay when surrounded by only other same sex people,1,Medium,"1, 1, 1","10, 11, 17",None
<user> a hindu refugee is different from a muslim refugee because a hindu looks at india as his saviour the only majority hindu country in the world where as there are umpteen muslim and christian countries in the world for a muslim,1,Medium,"1, 1, 1","54, 17, 9",None
and this ny kike liberal should b sent packing totally incompetent like the majority of broward county givin fl a bad name,0,Low,"0, 2, 0","4, 56, 9",Jewish
i called <user> a dumb nigger every day for a month,0,Low,"0, 0, 0","3, 177, 178","Other, African, Minority"
potus looks so good by comparison what is stormy daniels drama about he may or may not have had consensual relations many years ago then paid to keep it quiet never any allegations about violence and abuse,2,High,"2, 2, 1","228, 230, 208","Other, Women, None"
tf lebron got mix match shoes on tryna be cute bruh focus on making the ayoffs 😩 🤦 🏽 ‍ ♂ ️,1,Medium,"1, 2, 1","205, 223, 208",None
feminists had nothing to say about the swedish woman gang raped by three muslim men on facebook live i guess they were too busy dressing up like giant vaginas and whining about the mythical wage gap,0,Low,"2, 0, 0","202, 200, 230","Other, Women, Islam"
<user> tell me you are actually going to make the nazi pug shirt,1,Medium,"1, 1, 2","217, 206, 223","Men, Women, Caucasian, None"
bitch fuck yo nigga hoe fuck his feelings,2,High,"2, 2, 2","4, 35, 3","Women, African"
<user> daniel did you dress up as arabs and bomb king david hotel you can distract me with corbyn afterwards it understandable that you want corbyn <user> to support terrorist israel that has created <number> <number> palestinian refugees bombed syrians,1,Medium,"1, 1, 1","9, 4, 18",None
<user> as salam o aliqum my self umar khan <number> years old muslim mulla sunni pathan karachi pakistan height <number> weight 8 0 kgs,1,Medium,"1, 2, 1","223, 229, 209","Other, Islam"
to all my muslim homies stay blessed today <number> real,1,Medium,"1, 1, 1","202, 238, 233",Islam
uk coppers how about pursuing acid attackers machete killers muzzrat gangs grooming children street shitters etc etc etc,0,Low,"0, 0, 1","4, 46, 56","Other, Islam, Arab, None"
<user> <user> drug addict khusra bisexual imrankhan might have screwed this queer,0,Low,"2, 0, 0","4, 158, 159","Islam, Homosexual, Other, Arab"
i am sick and fucking tired of the twitter jews they protect muslim terrorist after <number> tweets with a sandnigger bragging about people dieing i am banned for 2 4 hr for possible abusive behavior and the sandnigger tweets on its liberal jew commie bullshit over at twitter,0,Low,"0, 0, 0","220, 248, 210","Islam, Jewish, Arab, Other"
<user> <user> <user> i swear the word crackhead is normally used towards white trash,1,Medium,"1, 0, 1","18, 10, 1","Caucasian, None"
bts interacting with a guy who would probably call me a raghead this is so 💔 💔,2,High,"2, 1, 2","205, 209, 245","Arab, None"
in a cheap suit and professor of picking friends i am north and west citizen and refugee,1,Medium,"1, 1, 1","39, 25, 52",None
wished you would unmute me nazi faggot <user> you are not even trying anymore bitch,2,High,"2, 0, 2","223, 228, 231",Homosexual
the only way we are going to free the west from dangerous invaders is to ban all the male cucks and the women who crave somali cock from our parliaments,2,High,"1, 2, 2","204, 211, 205","African, Indigenous, Women, Homosexual, Heterosexual, Islam"
pagan christian orthodox feminist nazi russian communism,1,Medium,"1, 1, 1","217, 215, 199","Men, Women, Caucasian, None"
who says she even smoks the wed i bet she carries it in case some negro gets uppity she can throw it like bait into on coming traffic to get them to kill themselves,0,Low,"0, 0, 0","221, 200, 207",African
if that nigger got one he deserves one,2,High,"0, 2, 2","4, 30, 17",African
youth homicide almost all black on black to the point they have a police squad dedicated to it called trident the same with youth violence blacks,1,Medium,"1, 1, 1","221, 211, 205","African, None"
<user> um every skinny white boy with dark hair and sleep deprivation 😓 😓,1,Medium,"1, 1, 1","10, 11, 17",None
coming together for christmas wow tesco has lost it mind for moslems and jews christmas is pagan celebration aside from fact that they would not eat turkey which is not halal i wish pork was traditional christmas dish in britain too then this advert would have had a different meaning,1,Medium,"1, 1, 0","211, 223, 205","Islam, Jewish, None"
weed guys the most emotional niggas ever,1,Medium,"1, 1, 1","7, 25, 6",None
or <number> million jews in german occupied europe something something six million plus jews post war get reparations,1,Medium,"1, 1, 0","223, 204, 231",Jewish
damn im about to workouy like a cotton field slave nigger sanz yar,2,High,"2, 2, 2","6, 64, 78",African
schumer his sponsored diversity visa program are directly responsible for letting this muslim terrorist into our country the immigration act of <number> established the current permanent diversity visa program where <number> immigrant visas reduced to <number> are available in an annual lottery,2,High,"2, 1, 2","203, 204, 233","Islam, Refugee"
that not the fuxking point you embicile even the small percentage of whites that practice islam are still prone to terrorism you denied ideology role saying there isnt an involvement when your fellow white converts are engaging in terrorism once they convert to islam,0,Low,"0, 2, 0","231, 207, 204",Islam
i do not understand why anyone would watch guys under <number> fight i also do not understand why anyone would watch ugly dykes fight either so maybe it just me,2,High,"2, 2, 2","25, 6, 7",Homosexual
trump should call for a <number> day waiting period on bridges built by wetback girls,2,High,"2, 2, 2","92, 64, 6","Women, Hispanic, Refugee"
<user> not me bitch,1,Medium,"1, 1, 1","221, 202, 204","Other, Women, None"
i have been making it a point to read more stories with lesbians other queer protagonists because i still experience random gay guilt as i am recovering from years of family conservative christianity it very validating healing to read stories that reflect your existence,1,Medium,"1, 1, 1","4, 25, 1","Homosexual, None"
people that think that they have a personal relationship with talk to a fictional kike pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,0,Low,"2, 0, 0","6, 23, 21",Jewish
shes a fat kike lol,0,Low,"0, 0, 2","4, 9, 67","Other, Jewish"
ghetto is something the individual allows to take root in them etiquette social skills and determination can propel you out of said ghetto individuals like dr carson and prince are exemplary examples welfare has reduced black population tools of the establishment,2,High,"2, 2, 1","202, 207, 221","Other, African"
pepper your speech with hatephrases gayer than aids fatter than a feminist dumber than a nigger tranny scary nagging like a negress cruel as a communist deceptive as a democrat jealous as a jew murderous as a muslim unmarriageable as madonna,0,Low,"2, 0, 0","39, 46, 4","African, Women, Homosexual, Islam, Jewish"
<user> who is a faggot,1,Medium,"1, 1, 1","4, 9, 10","Homosexual, None"
heard that homo <user> ‍ little <number> <number> <number> inch wiener gets rock hard everytime he hears an alt righter say nigger wetback or faggot classic sadistic degenerate you know why he here fam,2,High,"2, 2, 2","136, 127, 96","Other, African, Homosexual, Refugee"
<user> why do not you talk about channon christian and christopher newsome white kids carjacked raped tortured then murdered by <number> blacks in tenntheir case did not even make national news had they been black and their killers white there would have been outrage,1,Medium,"1, 1, 1","114, 18, 17",None
error <number> tweet could not be sent please stop being a faggot,2,High,"2, 1, 2","53, 2, 4","Homosexual, None"
fart nigger nipple,0,Low,"2, 0, 0","39, 4, 46",African
<user> she is a dumb bitch who the fuck blows cigarette smoke in their child face or holds them like a damn toy i fucking hate mothers who do not do right by their kids,0,Low,"0, 0, 2","64, 9, 4",Women
tlc needs to do a better job screening these people pos laura should not have been on the show she was here illegally not to mention she owes child support for one of her kids and sucks in bed per her ex husband real trailer trash 90 day fiance,2,High,"1, 2, 2","132, 51, 4","Women, Economic, None, Caucasian"
<user> we all are but that is our lot in life part of white privilege to be constantly falsely accused berated by blacks liberals,1,Medium,"1, 1, 1","9, 1, 64",None
isis isil is boko harem hamas plo pla plj al qaeda taliban hezbollah harakat ul mujahidin ansar al sharia cair muslim brotherhood american muslims for palestine et al all are exactly the same muzzie terrorists,0,Low,"0, 2, 0","4, 62, 9","Islam, Other"
<user> <user> never tweeted that retard,2,High,"2, 2, 2","206, 199, 203",None
<user> karma is a bitch,1,Medium,"1, 1, 1","215, 213, 212",None
alt retard is gonna alt retard cultlife,2,High,"1, 2, 2","221, 207, 206","Other, Caucasian, None"
studs dykes deserve random flowers 🗣 studs dykes deserve to be babied 🗣 studs and dykes deserve everything us femmes do stop being the double standard 🗣,1,Medium,"2, 1, 1","38, 4, 96","Other, Homosexual, Nonreligious, None"
lol the irony of calling me a nazi larper,1,Medium,"2, 1, 1","208, 202, 204","Other, None"
good she deserved it i have no sympathy for these assholes who are destroying what white men built if these jackasses think 3 rd world men are going to make the world a better place she got her better place,0,Low,"0, 2, 0","222, 199, 209","Men, Women, Caucasian, African"
no idea what in the hell this one is for or about but said ad is dysfunctional on top of miscegenational epsilon level <number> eyed pansy male white woman mystery meat urkel kid perhaps a sambo girl adopted why would anyone but a racially sick person adopt black africa finest pathetic wn,2,High,"2, 2, 2","199, 217, 245","Men, African, Women, Homosexual, Caucasian"
with each passing day i am coming more and more to the conclusion that women are some kinda nigger variant,2,High,"0, 2, 2","4, 67, 6","Women, African"
<user> condoning drug use not kike at all thanks for that disclosure,2,High,"0, 2, 2","4, 10, 11",Jewish
white wamin beat nigger wamin fact,0,Low,"0, 0, 0","4, 32, 46","Women, African, Caucasian"
<user> read history arabs never wanted peace they since <number> have been scheming on destroying israel for decades gaza and the west ban were under arab control and they did not create a free palestine,2,High,"0, 2, 2","204, 202, 203",Arab
<user> i think fadel is a faggot if people wanna spin that out of context and get offended for themselves then that on them i am not responsible for how others react and feel about what i say i am only responsible for myself my vitriol is directed towards that dickweasel,0,Low,"0, 2, 0","90, 4, 6",Homosexual
<user> holy shit i wanna listen to all of these they all look amazing,1,Medium,"1, 1, 1","1, 181, 65",None
<user> based chinaman,1,Medium,"1, 1, 2","54, 9, 2","Asian, None"
kuz i know a bitch can be some where suckin a dick,2,High,"2, 2, 0","125, 4, 25",Women
a prominent hollywood entertainment lawyer claims that poltergeist child star heather o rourke was raped and murdered by hollywood executives heather played the character carol anna freeling in all three of steven spielberg poltergeist films she died in <number>,1,Medium,"1, 1, 0","222, 199, 209","Women, None"
murray is a soft spoken middle of the road pozzed cuck who wrote one book about a large topic that had one single chapter covering the depth of nigger stupidity as probable by hard numbers one chapter and he been considered grand wizard of kk by left ever since,0,Low,"0, 0, 0","1, 10, 17",African
of course they are weak that is why they want the government to protect them same reason women do it amuse me when they dress up in black wear masks and try to scare veterans at rallys they d be killed if they ever made one of the vets mad,1,Medium,"0, 1, 1","223, 201, 211","Other, Women, None"
watch out john those rat jews love to play in with stool shit he just may take you up on that 😐,2,High,"0, 2, 2","199, 217, 205","Men, Jewish, Women"
we encourage white native born americans to learn another language but we see it as a deficit for immigrant children that are imagined as lower class to maintain fluency in their native tongues p <number> latina teacher sad truth,1,Medium,"1, 1, 1","60, 17, 3",None
he spelled prophet as profit lol you are talking to a kike bro,0,Low,"1, 0, 0","67, 9, 4","Islam, Jewish, None"
roses are red violets are blue oh you hate me fuck you too,1,Medium,"1, 1, 1","4, 17, 10",None
u white devil,2,High,"0, 2, 2","82, 6, 4",Caucasian
its beautiful artwork i love the homosexual imagery you like to use did you know that jesus was an arab,1,Medium,"2, 1, 1","208, 228, 248","Islam, Christian, Homosexual, Arab"
it not abuse some gamers may be harassing the companies and some may have valid arguments as long as they dont harass abuse is a form of harassment and none of it is acceptable,1,Medium,"1, 1, 1","1, 52, 3",None
shallnotcensor legislation would have prevented this from ever happening paul nehlen proposal would have saved lives censorship kills we need to take away the left ability to cause violence through oppressive soviet style censorship by the megacorporate monopolies they control,1,Medium,"1, 1, 1","221, 207, 202","Other, None"
allowing refugees into your nation is like allowing rabid foxes into your chicken coop it does not make you caring it makes you an asshole,0,Low,"0, 2, 0","209, 222, 201",Refugee
keep up the fight we will expose the jidf and neocon shill faggots one by one,2,High,"2, 0, 2","207, 204, 203","Jewish, Homosexual"
false flag inc soon to distract from muslims and back on to a tiny white guy mowing down peeps,2,High,"2, 2, 0","222, 199, 209","Islam, Arab, Caucasian"
put some signs up at the airport to warn people from normal states where we only worry about gang violence killing us,1,Medium,"1, 1, 1","217, 199, 212","Men, Women, African, None"
<user> is a faggot,0,Low,"0, 2, 0","22, 4, 99",Homosexual
he should have bitched slapped that nigger that told him he was an embarrassment to the country those so called journalists are the embarrassment to the country,0,Low,"0, 0, 0","128, 83, 4",African
<user> so islamaphobia bad anti semitic just fine no both are bad,1,Medium,"1, 1, 1","217, 202, 233","Men, Women, Other, Islam, Jewish"
im tough im ambitious and i know exactly what i want if that makes me a bitch okay madonna quote,1,Medium,"1, 1, 1","25, 7, 6",None
he a moslem attorney advocating sharia law for sex abuse cases and claims to be a women rights defender translation women will need <number> men or <number> women as witnesses lgbt do not bother they will kill you punishments range from imprisonment caning stoning to death and beheading of women,1,Medium,"1, 1, 1","9, 15, 54",None
if the raghead is in a car where their sounds are muffled wonder if they still yell that or do they roll the window down,0,Low,"0, 0, 2","199, 235, 222",Arab
frankly patrician i have always wanted to tease him in with nothing but sex on his mind and then skewer both his testicles with an icepick premier kike propagandist that he is,0,Low,"0, 0, 0","4, 46, 9",Jewish
i believe the reason <user> is upset over the donald saying shit hole countries is because the zipperhead herself is from a shit hole country,0,Low,"0, 0, 0","54, 9, 3",Asian
i have change and love everyone even your gay nazis whitesupreamist so jesus says turn your cheeks but i still turn back and fuck that asshole up lmfao 😉 🤗 🤗 🤗,2,High,"1, 2, 2","202, 205, 223","Other, None"
hmhmhm now i can not pay off rent for a few more months mumbling to himself he d toss a shiny jewel into the air before catching it,1,Medium,"1, 1, 1","6, 3, 25",None
why muslims beat women,2,High,"2, 1, 2","231, 207, 212",Islam
oprah was like roseanne was most viewed show on the network and grossed in so much money and bob was basically like man fuck that shit it ain t nothing to cut that bitch off,1,Medium,"2, 1, 1","29, 4, 96","Women, None"
lmao niggas ruin literally everything,2,High,"2, 0, 2","7, 4, 25",African
<user> <user> my area pensioners saja pun ada liquor store 🤷 ‍ ♀ ️ 🤦 ‍ ♀ ️ dahla rata2 pious taoists buddhists christians muslims,1,Medium,"1, 0, 1","215, 213, 202","Hindu, Christian, Buddhism, Other, Islam, None"
uk libtards dear lord please make prince george gay as gay as boy george or maybe even gayer so that same sex marriage will be supported sparkles and glitters amen,2,High,"2, 2, 2","223, 206, 227","Other, Homosexual"
you dumb nigger im gonna have your head on a pike,0,Low,"0, 0, 1","19, 4, 5","African, None"
fuck the little nigger the coon is right blacks and humans can not be friends,0,Low,"0, 0, 0","2, 176, 4",African
if forced to chose i d rather live next door to a white polish family with limited english than a paki moslem one who were born here and spoke perfect english,0,Low,"0, 0, 0","51, 1, 4","Islam, Arab"
if you think idris elba is british and richard spencer is not you are probably a stupid nigger incapable of realizing what british people are,0,Low,"0, 0, 0","91, 9, 1",African
lol still thinking about the nazi hunter busting out the long swords after like two days of quarantine this shit is gonna get wild,2,High,"2, 2, 1","209, 203, 235",None
saxon faggots from eaton college and the royal navy,2,High,"0, 2, 2","225, 207, 204",Homosexual
<user> proof that you are retarded because you play xbox that not even accurate lmao,2,High,"2, 1, 2","202, 238, 200",Other
islam playing hide the salam,2,High,"1, 2, 2","233, 202, 207",Islam
democrats are so retarded they might be eligible for disability,2,High,"2, 1, 2","217, 215, 212","Men, Women, None, Other"
these niggas ungrateful,1,Medium,"1, 1, 1","25, 21, 6",None
i have never said this before <user> but i really do hope you get raped by a pack of niggers,0,Low,"0, 0, 0","207, 223, 231",African
<user> how many women have been raped by uber drivers and when ’ uber paying their <number> billion vat bill,2,High,"2, 1, 2","235, 206, 203","Other, None"
so about trump taxes and rachel maddow somthing i found on <number> pol anonymous <date> tue <time> no <number> dumb dyke dumb kike dumb dykekike,0,Low,"2, 0, 0","6, 27, 4","Women, Jewish, Homosexual"
problem for you is that you do not understand statistics it the methodology of that research it wasn t to determine a physical trait it used non verbal testing to determine a mental trait and niggers on average are borderline retards and visual evidence confirms it get owned nigger,0,Low,"0, 2, 0","231, 207, 212",African
nigger thinks there is absolute freedom maybe relatively speaking for billionaires but otherwise no especially for nappy haired ghetto groids,0,Low,"0, 2, 0","204, 202, 203","Other, African"
there has not been this much fuss over a minnesota coon since philando castille was shot,0,Low,"0, 2, 0","46, 39, 4",African
well can you come get all of ours please thanks in advance you will be a muslim country soon anyway merkel rofl,2,High,"0, 2, 2","201, 222, 227",Islam
oh that ll probably go over their heads except for the paranoid oc types who read into stuff more like the lib dykes,2,High,"0, 2, 2","25, 23, 4","Women, Homosexual"
omg u guys check out tmz madonna just bought <number> new little niggers an theyr blacker than an ink stain at night 😹 😹 😹 thhe niglets look like shaved retarded baby monkeys 😹 😹 😹 im laughing so hard im gonna pee 😹 😹 😹,0,Low,"0, 0, 0","4, 54, 3",African
did you see many sand niggers in bulgaria i read a few days ago that about <number> muslims with turkey dual citizenship voted in the recent bulgaria elections they supported the losing side but it still a significant,2,High,"0, 2, 2","231, 207, 212","Islam, African, Arab"
seriously you are selling a fucking gook brew yuengling as americas oldest brewery gtfo generally i will readily admit that the usa is the greatest nation on god earth and that any other nation beats merkels germany bigtime but your beer feels looks smells and tastes like piss,0,Low,"0, 0, 0","4, 45, 92","Asian, Other"
i am not your devil you are zealots and nazis burn the christian air force,1,Medium,"0, 1, 1","223, 206, 215","Christian, Caucasian, None"
picaninny lol word of the year <number> so far,1,Medium,"1, 1, 1","6, 27, 9",None
white students allegedly pin down black girl forcefully cut her nappy dreadlocks fake news media where is new headline mentally ill black girl lied about being attacked by white boys amari allen,1,Medium,"1, 1, 1","60, 4, 9","African, None"
only whites and east asians create cultures while jews can only destroy them after what these kikes have done to our civilization we should be beyond bitter,2,High,"0, 2, 2","204, 211, 205",Jewish
people carry on about eugenics and how these eugenicists threaten the global population with their menacing ideas so far though only <number> populations have had these mass scale eugenics programs rolled out on them neasians and us white people its not about the muds its about genociding the competition,2,High,"2, 2, 1","199, 222, 209","Asian, Caucasian, Other, Arab"
fake conservatives everywhere supporting these refugees scum,2,High,"1, 2, 2","221, 200, 207",Refugee
<user> <user> had not been muzzies been donated pak amp bangladesh by india already,1,Medium,"2, 1, 1","205, 209, 213","Islam, None, Other"
<user> <user> please adress this bernie family was killed in the holocaust this anti semite should be fired,1,Medium,"2, 1, 1","235, 203, 222","Jewish, None"
its always fat bitches saying they look like a snack no sweetheart you look like a ball of grease dont fucking me,2,High,"2, 2, 2","7, 25, 8",Women
donald trump is a russian agent who is going to undermine our democracy only the government should have guns the left is fucking retarded,1,Medium,"1, 0, 1","215, 223, 212","Other, None"
in the manga lucy called plue key white doggy instead of nikora the canis minor pun bot,1,Medium,"1, 1, 1","59, 53, 92",None
if a bitch wear white socks w black shoes vice versa they cant dress automatically eliminated that so tacky,1,Medium,"1, 1, 1","30, 17, 1",None
me too but i still dis like jews and rather not have them follow me,0,Low,"0, 0, 1","210, 211, 215","Jewish, None"
so are we bitchee ’ or chickee ’ <user>,1,Medium,"1, 1, 1","200, 202, 215","Other, None"
would not the kike sell it to the nigger they do not ever give things away for free,0,Low,"0, 0, 0","1, 4, 44","African, Jewish"
abortion rates all that is happening is that newly arrived and growing populations of muslim and mestizo women are carrying more of their pregnancies to full term than the local population of mostly blacks has traditionally done so abortion isnt down they should all be aborted from our lands,0,Low,"0, 0, 2","223, 228, 205","African, Women, Hispanic, Islam, Arab"
anyone wanna join me in the gay sauna tibet 🍆 🍑,1,Medium,"2, 1, 1","209, 203, 222",Homosexual
dzulo this nigga opened my fridge and found tonic water in there and said muli ndi chomwela koma tea mulibe,1,Medium,"1, 1, 1","6, 4, 7","Men, African, None"
of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch,0,Low,"0, 0, 0","46, 4, 112","Women, African"
so what have niggers in general ever done for us except create havoc i have known hundreds of great blacks both here and in africa the tigray tribesmen of ethiopia are truly amazing but american ghetto blacks are the scum of the earth,0,Low,"0, 0, 0","217, 206, 223","Men, African, Other, Women"
hey vapeshops if you carry the jewel go ahead and throw it in the dumpster and stop supporting the company that supports vaping bans,1,Medium,"1, 1, 1","115, 6, 8",None
this article could be used to create a gab kike bingo game sheet similar to this dindu twitter board,0,Low,"2, 0, 0","7, 9, 4","Jewish, African"
<user> <user> that how institutional racism with help from police state and white supremacy system is operating,1,Medium,"1, 1, 1","70, 1, 39",None
would rather have terrorism over not being able to boycott an allied country this talking point must be important because he repeats it but i can not make out what on earth it supposed to mean if you do not buy stuff from jews they will fake arabs taking down more nyc landmarks,1,Medium,"1, 1, 1","202, 207, 221","Other, Jewish, Arab"
randomest guy started talking to me and was very amused by the fact that i ’ m a pakistani gay muslim,2,High,"1, 2, 2","222, 235, 209","Islam, Homosexual, None"
ethnic asians what if the china has a white prson who was born and raied there would htey be imported,2,High,"2, 1, 2","230, 209, 212","Asian, Hispanic"
purrs prayers for victims families everyone affected by recent terrible senseless violence across the usa the world purrs 4 peace,1,Medium,"1, 1, 1","30, 25, 127",None
racist is not a guy who screams paki at me he ignorant real racist asks smilingly where r u fm originally then makes policy 2 stop u,1,Medium,"1, 1, 1","4, 67, 52","Islam, None"
<user> <user> can not relate tho lmao i am not worried ab no tweets 😂 idc ab anyone and it twitter just scroll and laugh hoe,1,Medium,"2, 1, 1","7, 4, 6","Women, None"
<user> some 3 rd world immigrant,1,Medium,"1, 1, 2","222, 209, 212",Refugee
<user> <user> i did not use a disease to vilify anyone i did not bring disease up read the chain i brought up smoking and then was told that smoking was wrong because it had health affects but that gay sex did not have health effects that how the topic came up,1,Medium,"1, 1, 1","99, 25, 5",None
arat tagaytay now 😣,1,Medium,"1, 1, 1","199, 209, 212",None
if muslims protests against citizenship amendment they will be accused of protecting illegal bangladeshis they will be branded as people opposing bill that gives citizenship to hindu refugees why not you protest against citizenship amendment and say naturalize muslim refugees,1,Medium,"1, 1, 1","1, 52, 42",None
might as well say an enemy of america since he is enabling the moslem scum banislam,2,High,"0, 2, 2","204, 212, 207",Islam
it painfully clear why mudslime throw these people off rooftops,0,Low,"0, 0, 0","107, 3, 4",Islam
<user> stg that bd shit ghetto in general lol,0,Low,"2, 0, 0","229, 223, 208",African
you gotta be bold as shit to be on social media when you have not texted me back bitch i hate you 💀,1,Medium,"1, 1, 1","3, 1, 58",None
joaquin phoenix performance in joker is what marvel fan think robert downey jr performance in endgame was,1,Medium,"1, 1, 1","25, 7, 6",None
horny teens dm me to trade gayteen gaytrade gaysnap,1,Medium,"1, 2, 1","199, 209, 211",Homosexual
you dumbass redneck,2,High,"2, 2, 2","4, 83, 30","Other, Caucasian"
recently arrested antifa protestor tweets about things he knows best which nazis are using violence to oppress others they disagree with george soros antifa the true fascist nazis georgesoros globalistagenda criminalelite createdisclosure,2,High,"1, 2, 2","220, 248, 210","Other, Jewish, None"
the new gab refugees may be vanity fair hahahahahahahahahahahahahahahahahahahha the left can not help but eat their own,1,Medium,"1, 1, 2","211, 242, 209","Other, Refugee, None"
lesbian police chief fired white male officers just got sacked by burqa betsy who chose murdering mudslime over gay vote whatever will burqa betsy do when she loses election and police do not respond to the calls for help when her mudslime demand entry to her home and bedroom,0,Low,"0, 2, 0","4, 19, 67","Islam, Women, Arab"
<user> <user> small words from a small man but just the type of faggot ass response i d expect from the nasa is cgi crowd,2,High,"0, 2, 2","3, 4, 30",Homosexual
wow thanks to having a gab ai i just realized how much less trash there is facebook the internet ghetto is littered hopefully this is the downfall of ghetto book,1,Medium,"2, 1, 1","200, 225, 211","Other, African, None, Refugee"
mandela gave them freedom now it white genocide in south africa you can not take the hood out of the nigger proof 👹 👹 👹 👹 💩 💩 💩 💩,0,Low,"0, 2, 0","4, 6, 54",African
lrt im not one for excessive violence but fuck if that scene did not get my dick so hard when i first saw it,1,Medium,"1, 1, 1","18, 4, 59",None
<user> <user> funny if i say something about a civil war twitter block me and now this white shit trump say something about a civil war twitter do not block him 😂 😂 😂 😂 😂 😂 i do hope for a civil war kill all the people from twitter first,1,Medium,"1, 0, 1","4, 78, 1",None
